Región,Provincia,Comuna,Seleccionados,Pagados,Código Único Territorial,Programa,Capa
Tarapacá,Iquique,Iquique,593,203,1101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Tarapacá,Iquique,Alto Hospicio,291,104,1107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Tarapacá,Tamarugal,Pozo Almonte,31,10,1401,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Tarapacá,Tamarugal,Camiña,3,0,1402,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Tarapacá,Tamarugal,Colchane,1,1,1403,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Tarapacá,Tamarugal,Huara,4,0,1404,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Tarapacá,Tamarugal,Pica,10,5,1405,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Antofagasta,Antofagasta,Antofagasta,439,185,2101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Antofagasta,Antofagasta,Mejillones,5,4,2102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Antofagasta,Antofagasta,Sierra Gorda,1,0,2103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Antofagasta,Antofagasta,Taltal,5,1,2104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Antofagasta,El Loa,Calama,139,28,2201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Antofagasta,El Loa,Ollagüe,0,0,2202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Antofagasta,El Loa,San Pedro de Atacama,6,1,2203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Antofagasta,Tocopilla,Tocopilla,156,60,2301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Antofagasta,Tocopilla,María Elena,0,0,2302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Atacama,Copiapó,Copiapó,397,177,3101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Atacama,Copiapó,Caldera,31,16,3102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Atacama,Copiapó,Tierra Amarilla,24,10,3103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Atacama,Chañaral,Chañaral,7,0,3201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Atacama,Chañaral,Diego de Almagro,10,4,3202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Atacama,Huasco,Vallenar,106,29,3301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Atacama,Huasco,Alto del Carmen,2,1,3302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Atacama,Huasco,Freirina,7,3,3303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Atacama,Huasco,Huasco,14,4,3304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Elqui,La Serena,411,191,4101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Elqui,Coquimbo,537,240,4102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Elqui,Andacollo,17,8,4103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Elqui,La Higuera,4,1,4104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Elqui,Paiguano,3,2,4105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Elqui,Vicuña,62,24,4106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Choapa,Illapel,68,24,4201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Choapa,Canela,1,1,4202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Choapa,Los Vilos,21,8,4203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Choapa,Salamanca,41,10,4204,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Limarí,Ovalle,203,86,4301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Limarí,Combarbalá,30,20,4302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Limarí,Monte Patria,30,9,4303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Limarí,Punitaqui,16,5,4304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Coquimbo,Limarí,Río Hurtado,4,1,4305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Valparaíso,Valparaíso,1221,385,5101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Valparaíso,Casablanca,78,38,5102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Valparaíso,Juan Fernández,0,0,5104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Valparaíso,Puchuncaví,50,27,5105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Valparaíso,Quintero,60,25,5107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Isla de Pascua,Isla de Pascua,0,0,5201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Los Andes,Los Andes,176,100,5301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Los Andes,Calle Larga,32,13,5302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Los Andes,Rinconada,29,16,5303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Los Andes,San Esteban,36,18,5304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Petorca,La Ligua,166,96,5401,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Petorca,Cabildo,71,41,5402,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Petorca,Papudo,22,10,5403,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Petorca,Petorca,19,10,5404,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Petorca,Zapallar,18,7,5405,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Quillota,Calera,186,81,5502,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Quillota,Hijuelas,51,29,5503,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Quillota,La Cruz,70,30,5504,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Quillota,Nogales,33,12,5506,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Antonio,San Antonio,336,110,5601,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Antonio,Algarrobo,25,11,5602,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Antonio,Cartagena,39,9,5603,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Antonio,El Quisco,40,13,5604,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Antonio,El Tabo,28,11,5605,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Antonio,Santo Domingo,24,11,5606,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Felipe de Aconcagua,San Felipe,326,187,5701,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Felipe de Aconcagua,Catemu,34,19,5702,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Felipe de Aconcagua,Llaillay,70,36,5703,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Felipe de Aconcagua,Panquehue,13,7,5704,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Felipe de Aconcagua,Putaendo,40,21,5705,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,San Felipe de Aconcagua,Santa María,46,24,5706,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Marga Marga,Quilpué,482,178,5801,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Valparaíso,Marga Marga,Olmué,18,6,5803,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Rancagua,1083,603,6101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Codegua,17,8,6102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Coinco,8,5,6103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Coltauco,39,15,6104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Doñihue,50,18,6105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Graneros,80,37,6106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Las Cabras,44,13,6107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Machalí,148,55,6108,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Malloa,27,12,6109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Mostazal,48,22,6110,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Olivar,26,7,6111,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Peumo,53,25,6112,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Pichidegua,31,11,6113,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Quinta de Tilcoco,28,11,6114,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Rengo,222,110,6115,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,Requínoa,41,8,6116,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cachapoal,San Vicente,120,55,6117,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cardenal Caro,Pichilemu,59,18,6201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cardenal Caro,La Estrella,10,4,6202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cardenal Caro,Litueche,18,8,6203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cardenal Caro,Marchihue,36,16,6204,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cardenal Caro,Navidad,2,0,6205,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Cardenal Caro,Paredones,4,3,6206,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,San Fernando,393,205,6301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Chépica,31,17,6302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Chimbarongo,78,37,6303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Lolol,13,5,6304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Nancagua,70,38,6305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Palmilla,32,14,6306,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Peralillo,34,21,6307,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Placilla,32,14,6308,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Pumanque,9,2,6309,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Libertador General Bernardo O'Higgins,Colchagua,Santa Cruz,176,87,6310,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Talca,766,462,7101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Constitución,227,136,7102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Curepto,22,11,7103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Empedrado,18,11,7104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Maule,201,111,7105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Pelarco,10,4,7106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Pencahue,22,11,7107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,Río Claro,12,2,7108,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,San Clemente,81,52,7109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Talca,San Rafael,15,6,7110,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Cauquenes,Cauquenes,181,118,7201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Cauquenes,Chanco,10,7,7202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Cauquenes,Pelluhue,7,4,7203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Curicó,487,241,7301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Hualañé,23,14,7302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Licantén,22,12,7303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Molina,78,40,7304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Rauco,14,9,7305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Romeral,40,22,7306,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Sagrada Familia,26,12,7307,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Teno,56,34,7308,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Curicó,Vichuquén,4,3,7309,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Linares,528,302,7401,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Colbún,30,9,7402,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Longaví,35,16,7403,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Parral,109,65,7404,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Retiro,15,10,7405,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,San Javier,52,31,7406,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Villa Alegre,19,13,7407,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Maule,Linares,Yerbas Buenas,31,17,7408,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Concepción,Coronel,51,27,8102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Concepción,Florida,25,13,8104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Concepción,Lota,23,15,8106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Concepción,Santa Juana,68,36,8109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Concepción,Talcahuano,13,3,8110,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Lebu,14,8,8201,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Arauco,9,7,8202,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Cañete,10,5,8203,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Contulmo,13,6,8204,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Curanilahue,161,96,8205,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Los Alamos,48,25,8206,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Arauco,Tirúa,13,9,8207,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Los Angeles,11,5,8301,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Antuco,27,17,8302,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Cabrero,730,293,8303,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Laja,305,153,8304,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Mulchén,359,156,8305,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Nacimiento,25,8,8306,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Negrete,90,41,8307,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Quilaco,135,51,8308,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Quilleco,192,73,8309,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,San Rosendo,356,181,8310,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Santa Bárbara,27,15,8311,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Tucapel,693,253,8312,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Yumbel,174,85,8313,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
Biobío,Biobío,Alto Biobío,541,262,8314,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Temuco,1423,724,9101,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Carahue,82,41,9102,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Cunco,40,24,9103,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Curarrehue,26,12,9104,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Freire,56,25,9105,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Galvarino,20,8,9106,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Gorbea,67,27,9107,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Lautaro,140,71,9108,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Loncoche,75,32,9109,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Melipeuco,50,32,9110,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Nueva Imperial,243,121,9111,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Padre Las Casas,290,144,9112,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Perquenco,27,11,9113,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
La Araucanía,Cautín,Pitrufquén,62,21,9114,Arriendo_2014_2019,Subsidio Arriendo 2014-2019
